Trend,Number of Stations,Percentage
Increase (Statistically significant),128.0,19%
Increase (Not statistically significant),283.0,42%
Increase (Total),411.0,60%
Decrease (Statistically significant),3.0,<1%
Decrease (Not statistically significant),124.0,18%
Decrease (Total),127.0,19%
Insufficient events,143.0,21%
