Tendance,Nombre de stations,Pourcentage
À la hausse (statistiquement significative),128.0,19%
À la hausse (pas statistiquement significative),283.0,42%
À la hausse (total),411.0,60%
À la baisse (statistiquement significative),3.0,<1%
À la baisse (pas statistiquement significative),124.0,18%
À la baisse (total),127.0,19%
Nombre insuffisant dévènements,143.0,21%
